State / Union Territory,Area,Marwari - Male - Under 4 years,Marwari - Male - 4 years & above,Marwari - Male - Total Male,Marwari - Female - Under 4 years,Marwari - Female - 4 years & above,Marwari - Female - Total Female,Marwari - Total Male + Female
ASSAM,Rural,158,0,158,0,0,0,158
ASSAM,Urban,0,0,0,0,0,0,0
ASSAM,Total,158,0,158,0,0,0,158
HARYANA,Rural,34,163,197,105,226,331,528
HARYANA,Urban,0,1,1,0,3,3,4
HARYANA,Total,34,164,198,105,229,334,532
MADHYA PRADESH,Rural,0,4,4,0,0,0,4
MADHYA PRADESH,Urban,0,0,0,0,0,0,0
MADHYA PRADESH,Total,0,4,4,0,0,0,4
UTTAR PRADESH,Rural,168,91,259,3,30,33,292
UTTAR PRADESH,Urban,53,34,87,0,0,0,87
UTTAR PRADESH,Total,221,125,346,3,30,33,379
All India,Rural,360,258,618,108,256,364,982
All India,Urban,53,35,88,0,3,3,91
All India,Total,413,293,706,108,259,367,1073
